SDH Cvrčovice,Dorost
SDH Pasohlávky,Dorost
SDH Velké Pavlovice,Dorost
SDH Dubňany,Dorost
SDH Pasohlávky,Ženy
SDH Velké Pavlovice,Ženy
SDH Pasohlávky,Muži
SDH Cvrčovice,Muži
SDH Velké Pavlovice,Muži
SDH Dubňany,Muži
